,quote,author
59,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis
60,Anyone who has never made a mistake has never tried anything new,Albert Einstein
61,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment",Jane Austen
62,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory",J.K. Rowling
63,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library",Jane Austen
64,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense",Jane Austen
65,Some day you will be old enough to start reading fairy tales again,C.S. Lewis
66,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be,C.S. Lewis
67,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time,Mark Twain
68,A lie can travel half way around the world while the truth is putting on its shoes,Mark Twain
69,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis
70,Anyone who has never made a mistake has never tried anything new,Albert Einstein
71,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment",Jane Austen
72,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory",J.K. Rowling
73,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library",Jane Austen
74,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense",Jane Austen
75,Some day you will be old enough to start reading fairy tales again,C.S. Lewis
76,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be,C.S. Lewis
77,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time,Mark Twain
78,A lie can travel half way around the world while the truth is putting on its shoes,Mark Twain
79,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis
80,Anyone who has never made a mistake has never tried anything new,Albert Einstein
81,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment",Jane Austen
82,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory",J.K. Rowling
83,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library",Jane Austen
84,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense",Jane Austen
85,Some day you will be old enough to start reading fairy tales again,C.S. Lewis
86,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be,C.S. Lewis
87,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time,Mark Twain
88,A lie can travel half way around the world while the truth is putting on its shoes,Mark Twain
89,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis
90,Anyone who has never made a mistake has never tried anything new,Albert Einstein
91,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment",Jane Austen
92,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory",J.K. Rowling
93,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library",Jane Austen
94,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense",Jane Austen
95,Some day you will be old enough to start reading fairy tales again,C.S. Lewis
96,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be,C.S. Lewis
97,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time,Mark Twain
98,A lie can travel half way around the world while the truth is putting on its shoes,Mark Twain
99,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else",C.S. Lewis
